entry_time,side,pnl,macd_hist,stoch_k,stoch_d,stoch_k_minus_d,cci20,willr14,adx_slope3,adx_slope4,dist_sma200_pct,atr_chg5_pct,atr_chg10_pct,brr0,brr_avg3,brr_prev1,brr_prev2,brr_avg_prev3,hour
2004-06-15 15:00:00,buy,0.0,0.5755776980333214,95.99999999999984,86.5029239766081,9.497076023391742,302.0358553631165,-4.000000000000152,8.709074899291902,10.413402215713198,,41.84830450623008,44.83846286234978,0.9249999999999972,0.7305555555555493,0.5999999999999943,0.6666666666666562,0.6183006535947672,15
2004-06-16 15:00:00,sell,-1.3960992786580277,-0.6267713007115034,26.15384615384598,15.850565205403925,10.303280948442055,-169.50578338591095,-73.84615384615402,-2.8760640131632087,-5.603122582860294,,10.956293983127399,8.798523302144767,0.6315789473684226,0.44385964912280373,0.25,0.44999999999998863,0.32222222222221336,15
2004-06-23 16:00:00,sell,-1.216368779227139,-0.1383230061959641,46.51162790697662,34.88372093023246,11.627906976744164,-44.914134742407036,-53.48837209302338,-1.8365189323364017,-2.2382541705009853,,15.257198362665175,14.973959655035715,0.5,0.411111111111113,0.3333333333333333,0.4000000000000057,0.3032679738562136,16
2004-06-24 10:00:00,buy,-1.1844575827309995,0.2597781526056783,57.44680851063819,68.79432624113481,-11.34751773049662,150.3383348043629,-42.55319148936181,5.696675087890958,6.273832878044251,1.692520152872797,30.2376974718224,8.48747636322638,0.5999999999999943,0.36666666666666475,0.0,0.5,0.3166666666666629,10
2004-06-30 15:00:00,buy,-1.3644419982011868,0.523722895457391,61.538461538461455,69.23076923076907,-7.692307692307615,107.84313725490242,-38.461538461538545,-1.863350788229809,-3.394881946265059,-0.38275456968532934,22.090601205465635,18.96547441757421,0.16666666666665877,0.4286404416839172,0.34782608695652495,0.7714285714285681,0.3730848861283644,15
2004-07-02 14:00:00,buy,-1.5260273016569386,0.35697460315312274,76.47058823529412,78.43137254901961,-1.9607843137254974,219.34089681253178,-23.529411764705884,4.361634818691645,6.227072119945472,0.3778679165536433,57.83226862593405,40.55533454493159,0.0,0.3363834422657968,0.444444444444448,0.5647058823529425,0.5158706217529718,14
2004-07-07 13:00:00,buy,8.5,0.6049983267015898,93.97590361445783,89.89672977624791,4.079173838209925,125.754675305553,-6.02409638554216,-1.6578579459839737,-2.3275244554900816,0.7643058332850036,4.874864615045036,-5.772692665718612,0.7200000000000045,0.7464102564102517,0.7692307692307625,0.7499999999999881,0.7730769230769207,13
2004-08-10 16:00:00,buy,-0.8520011112662473,0.02172443041905492,47.999999999999545,68.42424242424221,-20.424242424242664,81.14035087719324,-52.000000000000455,0.24215104234735563,-0.1633657840307201,1.6949152542372958,22.91358711869117,12.127348147472377,0.6666666666666666,0.4991452991452996,0.2307692307692375,0.5999999999999943,0.27692307692307727,16
2004-08-11 00:00:00,sell,-0.0,-0.2941249520075507,10.416666666666641,21.65404040404043,-11.237373737373789,-320.7272727272737,-89.58333333333336,2.185499730462606,2.0959742196390394,0.8453399426939937,19.94870756618763,68.2116902961287,0.46666666666665907,0.5444444444444437,0.444444444444448,0.722222222222224,0.722222222222224,0
2004-08-13 15:00:00,buy,4.5,0.6236565368598288,92.06349206349208,87.83068783068778,4.232804232804298,219.13202933986696,-7.9365079365079225,8.613952924359593,10.786939629890295,0.7892538781428484,35.109167844284535,46.446086568451776,0.3333333333333333,0.3769841269841248,0.3333333333333243,0.46428571428571647,0.5386002886002842,15
