fast,mid,atr_rise_bars,trades,win_rate,net_profit,profit_factor,max_dd
3,10,2,3602,25.12493059411438,1028.521861179725,1.12344151277434,391.0675888577546
3,10,3,1985,26.14609571788413,50.32444774894566,1.011481721195425,397.332992202377
3,10,4,1145,27.685589519650655,35.60659643485866,1.0151458562365,320.8959608540913
3,10,5,631,25.990491283676704,-119.19700340207618,0.9093846262487137,286.18329479298063
3,10,6,340,22.941176470588236,-202.68666033701237,0.7389191175784166,247.31402466148927
3,10,7,184,25.543478260869566,-20.466975162851952,0.9497948658836641,84.67193792783223
3,10,8,89,24.719101123595507,43.46549700619545,1.2188325022897664,45.71383747589732
3,15,2,3061,20.026135249918326,-562.6310504805982,0.9276580320767707,1293.5765982345647
3,15,3,1777,21.553179516038266,-282.52903614008864,0.9333327590556715,658.8685878682649
3,15,4,1002,22.355289421157686,-117.5923026641467,0.9481328420189393,391.2357437438885
3,15,5,521,22.072936660268713,-272.30009666191427,0.7739929493657692,412.85000124140277
3,15,6,277,18.772563176895307,-350.83667394059364,0.504640562604292,362.359710605117
3,15,7,142,21.830985915492956,-105.18639537327277,0.6931877805483627,120.44876311331325
3,15,8,77,22.07792207792208,-48.43417682607037,0.7223195906243699,65.95554205884821
3,20,2,2715,17.12707182320442,-61.167083740710666,0.9911139264362204,539.762063086533
3,20,3,1621,17.273288093769278,-560.452903516491,0.8593718255108667,724.0371470210773
3,20,4,916,18.88646288209607,-135.05977934267042,0.9376305516075205,347.61299222022205
3,20,5,476,16.596638655462186,-110.14717966574625,0.9054089909108006,278.5345638230468
3,20,6,257,14.785992217898833,-293.3940936155129,0.5497840155226196,349.42114713366175
3,20,7,132,18.181818181818183,-87.64211237192751,0.7182126000510118,123.78389775564608
3,20,8,76,18.42105263157895,-68.10837669107349,0.6054853040413517,102.06411408880888
3,25,2,2509,14.98605021921084,44.75701869203522,1.0069529537997022,595.6379632730724
3,25,3,1543,15.359688917692806,-196.53164961104136,0.948358765007557,381.05628063891606
3,25,4,900,15.555555555555555,-350.24214887806613,0.8397634690822959,486.8028297902217
3,25,5,472,13.347457627118644,-394.805793755795,0.6716152153656061,525.9419011742541
3,25,6,255,12.549019607843137,-196.23424753597112,0.7013333045090198,259.13425497956837
3,25,7,125,13.6,-86.06641409298487,0.7602048535158726,138.7002457005326
3,25,8,68,13.235294117647058,-90.78848667856028,0.5025519726188955,108.77658812381407
3,30,2,2310,14.025974025974026,598.5245855888312,1.0996384271087902,368.1598006110926
3,30,3,1453,14.452856159669649,592.1802297968387,1.1645882426433654,213.36236366647347
3,30,4,846,15.130023640661939,673.8793248746858,1.324582689867107,179.92793371611606
3,30,5,452,15.044247787610619,175.6768175886425,1.1592988009125138,201.09286597278174
3,30,6,232,13.362068965517242,36.67553157340461,1.0627753642680065,127.8619991230205
3,30,7,112,12.5,54.52226294016958,1.1722076138962656,92.35365631617697
3,30,8,55,12.727272727272727,128.93593728160903,2.0841871218857206,55.326541962766214
4,10,2,3302,23.440339188370686,-288.2327020364818,0.9639734462723336,762.1778710661755
4,10,3,1826,24.315443592552025,-457.08219790610343,0.8939231499037713,523.0440780689468
4,10,4,994,26.559356136820927,11.963277271076663,1.0055691933052309,176.1966239119929
4,10,5,549,24.225865209471767,-378.85974270794463,0.6907266756885599,408.9331518261772
4,10,6,299,25.418060200668897,-201.32183795363238,0.7070326559369623,234.27039130812193
4,10,7,157,26.751592356687897,-81.49916711621091,0.7730771095180068,121.96057684724246
4,10,8,80,31.25,-4.061156229740902,0.9756483295939596,67.42831041734132
4,15,2,2698,18.865826538176428,-668.374136277878,0.9024290440185381,1308.091289702215
4,15,3,1588,19.080604534005037,-801.2579370698447,0.7917619505560588,926.8214676306013
4,15,4,869,21.173762945914845,-259.0489639219416,0.8733856825348083,467.939486094926
4,15,5,458,19.43231441048035,-301.3052022927512,0.7192002558290826,368.56241809140727
4,15,6,241,16.597510373443985,-237.5050361816913,0.6022590841421918,255.97632676342528
4,15,7,119,19.327731092436974,-76.92114247326015,0.7160650471183458,95.10175433874292
4,15,8,61,21.311475409836067,-27.513307340529877,0.7737826084313246,56.71689033137454
4,20,2,2368,16.469594594594593,21.41640088524605,1.00343992503884,472.93803662093796
4,20,3,1481,16.812964213369344,-411.03917182223154,0.8905351911779916,547.6400155752661
4,20,4,822,17.883211678832115,-354.28970789052545,0.830834650865988,520.0727166567843
4,20,5,424,17.21698113207547,-163.04284972517763,0.843445226237616,283.3759215321096
4,20,6,206,16.019417475728154,-72.68067873183827,0.8589657643353664,137.69297680991895
4,20,7,104,17.307692307692307,-13.115550160937232,0.9506796163324668,91.1182827028482
4,20,8,57,15.789473684210526,-15.835897028176817,0.8737127975996017,58.95915588313164
4,25,2,2152,15.381040892193308,240.8222152406526,1.0433358126583385,534.7736158041057
4,25,3,1345,15.985130111524164,-140.2980465068905,0.9593100522641016,435.12090941063
4,25,4,802,16.209476309226932,-180.73988131879855,0.9132388828595989,387.407743957868
4,25,5,415,14.939759036144578,-176.79818047960094,0.8365776421593429,327.8357568170636
4,25,6,199,14.07035175879397,-54.65422703328471,0.8958975485928425,137.49046546772843
4,25,7,106,15.09433962264151,-104.7260121568483,0.6716908950059111,121.68335510327802
4,25,8,50,14.0,-42.13478339877838,0.6248843565610048,51.25011223664802
4,30,2,1961,15.09433962264151,670.9650137968447,1.1268884175749632,403.4937416554376
4,30,3,1246,15.409309791332264,164.29333479961923,1.0485248501430318,365.72109417500405
4,30,4,735,15.918367346938776,98.8476803525399,1.05154404467184,240.91274868902428
4,30,5,393,12.72264631043257,-129.95524004068108,0.86950388488655,328.74311078173605
4,30,6,196,10.204081632653061,-235.15406414985188,0.5591363309888884,296.1927315900763
4,30,7,106,12.264150943396226,-138.99443414132998,0.536985305743903,192.74606001354755
4,30,8,43,13.953488372093023,-46.32306429036697,0.5689396668868357,65.66612850476827
5,10,2,3212,24.22166874221669,-204.98968008362846,0.9735020212433005,781.8599196945679
5,10,3,1771,25.352907961603613,-428.4290370752254,0.8970518223263707,626.700669040222
5,10,4,961,27.36732570239334,15.156028523972736,1.0071340482716882,232.77897659641212
5,10,5,498,27.10843373493976,-194.25306764772432,0.8264145486848695,250.13904902737568
5,10,6,285,25.263157894736842,-153.825762542512,0.7482334745372906,192.47914987002355
5,10,7,152,27.63157894736842,-70.41506176429743,0.7744444869772095,110.87193385246303
5,10,8,82,32.926829268292686,65.03745530058967,1.5166929409102077,38.55992383138164
5,15,2,2447,19.3297915815284,-468.9629557413402,0.9244859349849046,953.4743912468723
5,15,3,1452,20.24793388429752,-337.91413681700317,0.9055922257789744,445.69908378660955
5,15,4,794,22.292191435768263,-291.2825603986286,0.8469851290596005,471.08415738078907
5,15,5,397,23.173803526448363,-109.14137068690502,0.8820286342916295,236.25023567863195
5,15,6,200,21.5,-99.01023393622904,0.7695079150391566,163.05245644395472
5,15,7,104,21.153846153846153,-74.60444322775237,0.6608957431349665,99.67855587725455
5,15,8,55,25.454545454545453,4.19349567204921,1.0531990566853318,31.340251679832818
5,20,2,2133,16.59634317862166,233.69492854346117,1.0420135905395125,523.4954972130083
5,20,3,1341,16.92766592095451,-167.09282371505037,0.9519388702395928,482.07665824914966
5,20,4,773,18.240620957309186,-119.36563555130618,0.9387977016096611,327.2065454594017
5,20,5,397,17.632241813602015,-6.931829281479793,0.9923332500975113,230.35856887822172
5,20,6,189,17.46031746031746,-11.804804715861508,0.9736679049796411,130.93026421725563
5,20,7,104,17.307692307692307,-22.19681369569122,0.9140414065525775,90.9391889612807
5,20,8,50,20.0,-18.91119439701322,0.8076785854887606,44.96787608883437
5,25,2,1936,14.927685950413224,362.66902888861824,1.0730743959664077,337.0557486020607
5,25,3,1237,15.359741309620048,-286.00297076209375,0.9141903468531171,409.466099160014
5,25,4,724,15.469613259668508,75.16986647326695,1.0429682014918364,210.61067182259626
5,25,5,400,13.5,-157.04949084015811,0.8276245172191202,230.035108563388
5,25,6,185,11.35135135135135,-193.05175698309773,0.5807977493880201,261.43274249410695
5,25,7,89,11.235955056179776,-142.10391023112066,0.4600995475092351,200.83478517471292
5,25,8,39,12.820512820512821,-65.14053460815478,0.27966217505607127,65.87349939850583
5,30,2,1762,14.415437003405222,324.77912896975226,1.0700647985703948,411.2111018335295
5,30,3,1131,14.677276746242264,62.41085229144488,1.0199011078436213,322.06479086479294
5,30,4,686,15.306122448979592,-149.92390682476088,0.9112983313910273,333.132891978041
5,30,5,366,13.114754098360656,-77.25894948509233,0.9147006435695257,223.52329366693516
5,30,6,182,8.791208791208792,-144.7404518912964,0.6812378975808212,228.6276342734277
5,30,7,89,7.865168539325842,-151.64350196742856,0.380068962883249,174.2402101725429
5,30,8,37,10.81081081081081,-80.05906975046781,0.33377973286544427,86.69400767833577
6,10,2,3134,25.813656668793875,38.44428284108619,1.0051851563934946,638.9668047792911
6,10,3,1820,27.142857142857142,16.214250109619,1.0038973042543202,330.07918410083903
6,10,4,988,28.13765182186235,110.6613562768415,1.0526783585106294,224.81828284853327
6,10,5,499,28.857715430861724,37.699186721894364,1.038516474996719,122.06094012015365
6,10,6,238,26.470588235294116,-74.83772150127447,0.8348418824314547,130.2935878839271
6,10,7,139,26.618705035971225,-22.052626337032848,0.9164586622369068,75.27674021081702
6,10,8,74,25.675675675675677,-28.132201444244004,0.7853031458361434,69.92133122282144
6,15,2,2304,18.96701388888889,-67.09657179303753,0.9889136460251755,731.9751186311462
6,15,3,1374,18.995633187772924,-621.8811519503445,0.8279011394181827,658.0925299005189
6,15,4,769,19.765929778933682,-283.66113960290915,0.8534263917535452,430.83227610134395
6,15,5,370,18.64864864864865,-125.75678768020197,0.866019029990918,203.52563344935857
6,15,6,172,16.86046511627907,-76.60214748665771,0.8149716180176904,137.81434144621858
6,15,7,87,19.54022988505747,-21.460658456773956,0.9085069994347375,64.17113657897221
6,15,8,48,18.75,-58.28333988173182,0.5751117532606365,64.20260241071264
6,20,2,1989,16.792357968828558,379.7908878046794,1.073041778402257,436.9675472946178
6,20,3,1240,17.096774193548388,-51.571844599884685,0.9842507167248146,345.26521817694174
6,20,4,723,18.672199170124482,-43.03615969025083,0.9769709392603853,360.9244122785997
6,20,5,370,18.37837837837838,-70.48725426291588,0.9236512419478003,222.69445410081062
6,20,6,164,15.24390243902439,-138.79809766168512,0.7002123848049594,212.59665045500992
6,20,7,83,16.867469879518072,-45.111389266559286,0.8284029408783012,91.33506160215597
6,20,8,47,12.76595744680851,-112.3050368267971,0.22885976291295285,112.3050368267971
6,25,2,1791,15.131211613623673,710.6064347170455,1.1575175722017546,353.0776566802492
6,25,3,1156,14.878892733564014,-379.23368808998725,0.8775264459634422,539.2206176918849
6,25,4,689,15.09433962264151,56.17992802746858,1.0340661954568067,323.29673040840635
6,25,5,366,13.934426229508198,-229.86410393734576,0.7330464678689339,266.90999556851307
6,25,6,166,10.240963855421686,-241.79005295216086,0.4140696410461831,277.3487473757899
6,25,7,85,15.294117647058824,-96.41314465103756,0.6057901418874021,142.20413071777637
6,25,8,37,18.91891891891892,-55.72036283043201,0.5061143092211181,81.30904375439889
6,30,2,1619,13.465101914762199,-83.80239537179511,0.9803751684074763,656.9687934111967
6,30,3,1052,13.783269961977187,-76.45252420172,0.9734095982936145,376.6945894920425
6,30,4,634,13.091482649842272,-375.0040964239124,0.7817388557779098,525.0069078472627
