entry_time,pnl,macd_hist,stoch_k,stoch_d,stoch_k_minus_d,cci20,wr14,adx14,adx_slope4,dist_sma200_pct,atr_trend,body_ratio,body_ratio_avg4,hour
2004-06-15 15:00:00,0.0,0.5755776980333214,95.99999999999984,86.5029239766081,9.497076023391742,302.0358553631165,-4.000000000000152,27.087557609262404,10.413402215713198,,44.83846286234978,0.9249999999999972,0.6949754901960746,15
2004-06-16 15:00:00,-1.3960992786580277,-0.6267713007115034,26.15384615384598,15.850565205403925,10.303280948442055,-169.50578338591095,-73.84615384615402,39.19986759511598,-5.603122582860294,,8.798523302144767,0.6315789473684226,0.3995614035087656,15
2004-06-23 16:00:00,-1.216368779227139,-0.1383230061959641,46.51162790697662,34.88372093023246,11.627906976744164,-44.914134742407036,-53.48837209302338,15.10117530962817,-2.2382541705009853,,14.973959655035715,0.5,0.3524509803921603,16
2004-06-24 10:00:00,-1.1844575827309995,0.2597781526056783,57.44680851063819,68.79432624113481,-11.34751773049662,150.3383348043629,-42.55319148936181,16.985320941472597,6.273832878044251,1.692520152872797,8.48747636322638,0.5999999999999943,0.3874999999999958,10
2004-06-30 15:00:00,-1.3644419982011868,0.523722895457391,61.538461538461455,69.23076923076907,-7.692307692307615,107.84313725490242,-38.461538461538545,26.00799686678897,-3.394881946265059,-0.38275456968532934,18.96547441757421,0.16666666666665877,0.32148033126293807,15
2004-07-02 14:00:00,-1.5260273016569386,0.35697460315312274,76.47058823529412,78.43137254901961,-1.9607843137254974,219.34089681253178,-23.529411764705884,22.453486762214233,6.227072119945472,0.3778679165536433,40.55533454493159,0.0,0.386902966314729,14
2004-07-07 13:00:00,8.5,0.6049983267015898,93.97590361445783,89.89672977624791,4.079173838209925,125.754675305553,-6.02409638554216,26.3750989035592,-2.3275244554900816,0.7643058332850036,-5.772692665718612,0.7200000000000045,0.7598076923076917,13
2004-08-10 16:00:00,-0.8520011112662473,0.02172443041905492,47.999999999999545,68.42424242424221,-20.424242424242664,81.14035087719324,-52.000000000000455,17.756676640766035,-0.1633657840307201,1.6949152542372958,12.127348147472377,0.6666666666666666,0.3743589743589747,16
2004-08-11 00:00:00,-0.0,-0.2941249520075507,10.416666666666641,21.65404040404043,-11.237373737373789,-320.7272727272737,-89.58333333333336,18.462400949959278,2.0959742196390394,0.8453399426939937,68.2116902961287,0.46666666666665907,0.6583333333333329,0
2004-08-13 15:00:00,4.5,0.6236565368598288,92.06349206349208,87.83068783068778,4.232804232804298,219.13202933986696,-7.9365079365079225,22.03927514162073,10.786939629890295,0.7892538781428484,46.446086568451776,0.3333333333333333,0.4872835497835466,15
2004-08-17 15:00:00,-1.1623607717688742,-0.10721757382617325,77.14285714285681,53.333333333332995,23.809523809523817,90.20006781960103,-22.85714285714318,26.548321669818627,-0.775633391649933,1.451797156928758,33.730165731625604,0.3499999999999943,0.23804390054389724,15
