entry_time,side,entry_price,exit_time,exit_price,exit_reason,pnl,bars_open,adx14,rsi14,atr14,atr_pct,bbw_pct,hour,dow
2004-06-15 15:00:00,buy,384.6,2004-06-16 13:00:00,384.6,be,0.0,21,27.087557609262404,75.28455918659414,1.375595709405022,0.07524564529053439,0.7391798215244334,15,1
2004-06-16 15:00:00,sell,383.1,2004-06-16 17:00:00,384.49609927865805,sl,-1.3960992786580277,2,39.19986759511598,40.77252940764514,1.4320921873252888,0.08057476719128047,0.7643406751573526,15,2
2004-06-23 16:00:00,sell,393.8,2004-06-23 20:00:00,395.01636877922715,sl,-1.216368779227139,4,15.10117530962817,50.0425633737288,1.2009138664252244,0.059374975688312494,0.2238880287552613,16,2
2004-06-24 10:00:00,buy,397.0,2004-06-24 11:00:00,395.815542417269,sl,-1.1844575827309995,1,16.985320941472597,59.365340422755914,1.242710612535942,0.06321038750884946,0.4885437980907627,10,3
2004-06-30 15:00:00,buy,394.1,2004-06-30 17:00:00,392.73555800179884,sl,-1.3644419982011868,2,26.00799686678897,51.97793449254134,1.3526961411868006,0.07329293055026101,0.60783611990695,15,2
2004-07-02 14:00:00,buy,397.8,2004-07-06 14:00:00,396.2739726983431,sl,-1.5260273016569386,12,22.453486762214233,64.03475719753902,1.502739637252883,0.08738981943223458,0.6597994289404278,14,4
2004-07-07 13:00:00,buy,397.8,2004-07-12 16:00:00,406.3,cross,8.5,68,26.3750989035592,65.99431154063728,1.3630035270578202,0.07418760065038627,0.9198026965837567,13,2
2004-08-10 16:00:00,buy,400.3,2004-08-10 17:00:00,399.44799888873376,sl,-0.8520011112662473,1,17.756676640766035,55.23964156151116,0.8982867461758242,0.026840103003757613,0.16164720344191763,16,1
2004-08-11 00:00:00,sell,397.0,2004-08-11 12:00:00,397.0,be,-0.0,12,18.462400949959278,35.19765135647897,1.222194468208633,0.06133547016858697,0.35723899698910005,0,2
2004-08-13 15:00:00,buy,397.1,2004-08-17 15:00:00,401.6,cross,4.5,45,22.03927514162073,73.61863740331326,1.3836243839024254,0.07612475591065747,0.752732761236414,15,4
2004-08-17 15:00:00,sell,401.6,2004-08-17 16:00:00,402.7623607717689,sl,-1.1623607717688742,1,26.548321669818627,60.403825672073474,1.2221921452139488,0.06132769042858588,0.11908225903075474,15,1
2004-08-17 17:00:00,buy,404.3,2004-08-18 03:00:00,402.9865358651585,sl,-1.3134641348415244,9,29.40515125237527,65.75503452995362,1.283930982352842,0.06717027516940384,0.420047769833428,17,1
2004-08-23 15:00:00,sell,408.6,2004-08-23 16:00:00,409.64318117734393,sl,-1.0431811773439108,1,24.587094623588907,45.45995825635456,1.097239664676464,0.048498899166789844,0.48702667797374993,15,0
2004-08-30 14:00:00,buy,406.5,2004-08-31 09:00:00,406.5,be,0.0,18,20.19149101282906,74.03963566619389,1.1176469877841069,0.050770583247107884,0.7202508305260128,14,0
2004-09-09 16:00:00,sell,398.3,2004-09-10 00:00:00,399.62485478487054,sl,-1.3248547848705243,7,16.436082371373903,47.63773477701512,1.3302223002369202,0.07134799554998872,0.28212210093905843,16,3
2004-09-13 18:00:00,buy,403.6,2004-09-14 00:00:00,402.3379492948325,sl,-1.2620507051674963,5,22.477429896187896,62.52083504265486,1.2576185119412349,0.06458740148904224,0.6096255436347086,18,0
2004-09-21 10:00:00,buy,405.3,2004-09-22 11:00:00,405.3,be,0.0,24,19.99663769220778,66.22953058416309,0.9365537300712174,0.030838889364317446,0.08891101896011142,10,1
2004-09-22 12:00:00,sell,405.1,2004-09-22 15:00:00,406.23240123799957,sl,-1.1324012379995452,3,28.855223151693483,31.944896032076684,1.194372578142413,0.05872147752822101,0.6000715769491104,12,2
2004-09-23 09:00:00,buy,407.1,2004-09-23 12:00:00,407.1,be,0.0,3,14.043532873130236,60.175240351312766,1.0148310040558053,0.039466621025525325,0.13308644472625708,9,3
2004-09-24 14:00:00,sell,407.1,2004-09-24 16:00:00,408.45526627165,sl,-1.3552662716499526,2,19.839771190864138,37.705682041025455,1.3870329665321088,0.07643594551070103,0.43018524425633886,14,4
2004-09-27 15:00:00,buy,409.1,2004-09-27 17:00:00,408.19445403808885,sl,-0.905545961911173,2,12.763991950141108,62.0039008100516,0.948006964631812,0.031928052964469926,0.2610613616736558,15,0
2004-09-29 13:00:00,buy,413.3,2004-09-29 14:00:00,412.37986396036297,sl,-0.9201360396370433,1,22.688350680045026,64.03451900383828,0.9401263225200902,0.031118960004356655,0.22488388196027478,13,2
2004-09-30 13:00:00,buy,415.6,2004-09-30 14:00:00,414.4212533714735,sl,-1.1787466285265396,1,19.137327614903,65.811608253949,1.1874075836317992,0.057927944048109914,0.5688266826418118,13,3
2004-10-07 16:00:00,sell,417.6,2004-10-08 06:00:00,418.76838938891433,sl,-1.1683893889143064,11,18.780292123936043,50.56264331211548,1.1563615754204049,0.054839387267677515,0.09761306434923327,16,3
2004-10-08 10:00:00,sell,417.2,2004-10-08 11:00:00,417.3,cross,-0.10000000000002274,1,22.733757494966937,46.18903884914153,0.8845557405591746,0.025634243303588794,0.04041763593785254,10,4
2004-10-18 18:00:00,sell,416.3,2004-10-19 09:00:00,416.3,be,-0.0,14,15.762205546732872,38.11399808070928,0.9632277432083757,0.033600697064704095,0.3745808469420305,18,0
2004-10-21 17:00:00,sell,423.1,2004-10-22 11:00:00,423.1,be,-0.0,17,35.24554980161339,53.13892669704368,1.139341250760275,0.053174522907444434,0.44360592221452855,17,3
2004-10-27 15:00:00,buy,426.2,2004-10-27 16:00:00,425.25954684842986,sl,-0.9404531515701251,1,22.600865686219674,40.15514979522839,1.0661350693151033,0.04499023642629863,0.3732271089914652,15,2
2004-11-03 15:00:00,buy,423.5,2004-11-05 14:00:00,426.8,cross,3.3000000000000114,44,29.645586976222216,58.59637450946813,1.3074856851477823,0.06932526314970554,0.6893949413769227,15,2
2004-11-05 14:00:00,sell,426.8,2004-11-05 15:00:00,428.09910537097295,sl,-1.2991053709729385,1,27.06846477569997,54.84330649397223,1.5205978444748764,0.08929585573250141,0.2345234297806789,14,4
2004-11-05 17:00:00,buy,433.0,2004-11-08 13:00:00,431.3812192055293,sl,-1.6187807944706947,15,22.844406752879888,65.90328820032761,1.6317250234370648,0.10237359867433231,0.6477091486233107,17,4
