fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
3,20,10,352,18.75,-102.47341740881501,0.8783270694581785,171.76991982634718
3,20,15,353,18.69688385269122,-99.73017292892001,0.8845724332842345,199.41764123145276
3,25,10,333,18.01801801801802,-79.28313346257778,0.8975847856949889,156.2134844765601
3,25,15,334,17.365269461077844,-124.59524929053777,0.845337892072428,191.89740284985896
3,25,20,337,17.2106824925816,-122.56484008164892,0.8504859216331003,195.87780541478037
3,30,10,366,20.218579234972676,123.1233648077116,1.1426238887000957,136.6313708971802
3,30,15,366,20.218579234972676,109.63697762217578,1.1250479529866073,165.9633420359478
3,30,20,361,20.221606648199447,124.18294824308498,1.1421745272307646,165.9633420359478
3,30,25,364,19.78021978021978,111.21440496523059,1.1253030535071102,165.9633420359478
3,35,10,384,20.572916666666668,249.40485010520774,1.2731117791221362,154.5736960878421
3,35,15,382,20.157068062827225,229.05123980394433,1.2496143806348876,154.5736960878421
3,35,20,378,20.8994708994709,309.2643174082633,1.3409846138388688,154.5736960878421
3,35,25,381,21.25984251968504,328.30358842627425,1.3664662003449746,154.5736960878421
3,35,30,390,21.025641025641026,302.6556942596332,1.3219430931604559,154.5736960878421
3,40,10,439,20.045558086560366,171.870025737157,1.1623574330943247,168.05005642882134
3,40,15,429,20.046620046620045,171.2391423534956,1.1635568772141085,168.05005642882134
3,40,20,428,20.794392523364486,242.5386548897426,1.2342706629449451,168.05005642882134
3,40,25,429,20.97902097902098,247.55617974129547,1.2400998892109334,168.05005642882134
3,40,30,434,20.276497695852534,198.98799493427572,1.187131939699086,168.05005642882134
3,45,10,464,16.163793103448278,-65.3665408213393,0.9459754420327285,261.8610668023566
3,45,15,452,16.150442477876105,-53.81457646151421,0.9546430687971749,261.8610668023566
3,45,20,449,16.70378619153675,1.0836059412542909,1.000915809894677,261.8610668023566
3,45,25,450,16.666666666666668,2.2024981041276988,1.0018632038557054,261.8610668023566
3,45,30,450,16.444444444444443,-34.150021337614476,0.971809180035225,261.8610668023566
4,20,10,441,17.913832199546484,-193.8277863046929,0.8108855987579394,236.85547821976706
