fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
4,25,15,6857,19.483739244567595,-251.50920554182028,0.9853899006822489,1154.8693564641248
4,25,20,6867,19.353429445172566,-320.7782607726533,0.981406639852137,1182.7056818653252
4,30,10,6108,19.05697445972495,-781.9042166989157,0.9490853585698452,1603.2222077667493
4,30,15,6026,19.117158977763026,-886.1746870638872,0.941931983465082,1655.143785876071
4,30,20,6002,19.060313228923693,-853.7490399376943,0.9440503750058458,1606.2940909314614
4,30,25,6070,18.99505766062603,-678.4904684938376,0.9556878752116023,1458.858202183268
4,35,10,5526,18.602967788635542,-148.41094818694035,0.9892604730732484,877.2447491734483
4,35,15,5430,18.784530386740332,88.02356026677631,1.0065312886934938,704.8369839609966
4,35,20,5405,18.630897317298796,-92.30645193957236,0.9931711964984576,782.506709661162
4,35,25,5469,18.55915158164198,-54.374370893094806,0.9960112789126359,714.7760691635342
4,35,30,5505,18.474114441416894,9.948283090636039,1.0007208734595971,783.1837016290715
4,40,10,5063,18.427809599051944,-278.21608672069135,0.9781154859819193,729.4725638674283
4,40,15,4978,18.501406187223786,-111.8480661248048,0.9910035441559248,601.1070706604248
4,40,20,4941,18.51851851851852,-96.31233061276674,0.9921554257202992,631.4403485193955
4,40,25,4962,18.359532446594116,-110.3596290713698,0.991063429854131,677.4400224910123
4,40,30,4994,18.161794152983582,-83.94954661207265,0.993287385040239,689.7443249871426
4,45,10,4768,18.498322147651006,-712.9083999033351,0.9411461551344389,1043.7451693217295
4,45,15,4672,18.771404109589042,-452.10047135700967,0.9614886175030527,912.0237283261454
4,45,20,4605,18.653637350705754,-557.6471720458244,0.9517937535655873,1024.3391480678395
4,45,25,4584,18.56457242582897,-561.7967681085977,0.9513396536423853,1037.944338150421
4,45,30,4598,18.22531535450196,-726.0042034990888,0.9378103583943878,1139.9439400018823
5,20,10,7433,19.776671599623302,-533.6434749922391,0.9712051136885962,1508.6805864826902
5,20,15,7432,19.69860064585576,-443.8637702135368,0.9759652105896025,1380.2204357454848
5,25,10,6428,19.041692594897324,-716.6298398555275,0.9556865433396649,1546.9886598919154
5,25,15,6410,19.09516380655226,-579.4526213431958,0.9641261822218993,1551.5822139133368
5,25,20,6390,18.9358372456964,-741.8175994565975,0.9540140882368225,1524.7985239144516
5,30,10,5703,18.90233210590917,-585.4629458508138,0.9591062435631372,1271.0313889897307
5,30,15,5629,19.133060934446615,-421.2958484257699,0.9703467756536616,1177.1568808461475
5,30,20,5622,19.156883671291354,-415.80573062204553,0.9707601944732742,1170.3167249055145
5,30,25,5622,19.03237282106012,-459.2649082093967,0.9677388307066138,1209.3522683042222
5,35,10,5162,18.384347152266564,201.95658714411786,1.0158758887781263,897.8129173558912
5,35,15,5119,18.695057628443056,401.9280605934447,1.0319951790455362,806.4876147625557
5,35,20,5083,18.315955144599645,236.41566718206383,1.0188340941419973,854.2181563957165
5,35,25,5109,18.41847719710315,464.4736232866981,1.0368507258732658,694.6272573902054
5,35,30,5115,18.33822091886608,382.15245991357415,1.0300958265628168,735.9016018414434
5,40,10,4733,17.98013944643989,-626.3099726703172,0.9478722238042864,1164.1650029088858
5,40,15,4678,18.020521590423257,-550.749612834443,0.9532420806133092,1082.7090792568183
5,40,20,4641,18.034906270200388,-677.8457913697953,0.9421425413169873,1216.8069837124833
5,40,25,4644,18.06632213608958,-480.23891202424994,0.9592110477709516,1110.216631101887
5,40,30,4651,17.888626101913566,-555.0494155679113,0.9533537415017866,1161.670973744984
5,45,10,4407,18.765600181529386,-187.11383571425517,0.9834782376096228,688.7719554647449
5,45,15,4323,18.760120286837843,-191.34646010967157,0.9828550780164551,625.8522650709044
5,45,20,4276,18.592142188961645,-288.81104621813284,0.9736027073981863,723.9635203882265
5,45,25,4264,18.691369606003754,-198.0647223456457,0.9817634630499196,695.4575037212344
5,45,30,4252,18.508936970837254,-314.46039218306345,0.9712618768397543,856.7188292666976
6,20,10,7012,19.23844837421563,-971.4563863582459,0.9449986698920463,1594.8973346944902
6,20,15,7049,19.06653426017875,-1176.6200681079788,0.9340870413885228,1750.2256646438316
6,25,10,5984,19.067513368983956,-254.60680888229922,0.9827969803545653,1277.0652507523441
6,25,15,6002,18.910363212262578,-258.2884835176742,0.9825908894010716,1259.349715673141
6,25,20,5962,18.886279771888628,-335.0188015492214,0.9773632006749885,1283.4014190512844
6,30,10,5344,18.974550898203592,-781.144378786702,0.9426464718440807,1373.6052190954028
6,30,15,5340,18.98876404494382,-804.9219252252569,0.9409445660717897,1372.9122143695784
6,30,20,5308,18.99020346646571,-690.4366863931052,0.9493689657446656,1349.406438302584
6,30,25,5300,18.943396226415093,-533.5048417236201,0.9608444070438502,1165.3813882215309
6,35,10,4780,18.326359832635983,-94.76919538302877,0.9920515495037266,680.7144884184343
6,35,15,4765,18.32109129066107,-88.06278014542505,0.992589161299484,727.6337234541961
6,35,20,4730,18.224101479915433,-139.2110881009021,0.9882403920824366,744.4007011320689
6,35,25,4730,18.24524312896406,-5.431689671443962,0.9995415120378436,649.0075545548921
