fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
3,20,10,8882,32.019815356901596,4107.600000000002,1.1237683354219514,747.5000000000027
3,20,15,8887,31.7880049510521,4159.820000000003,1.1248677350324086,713.0300000000025
3,25,10,7649,31.272061707412735,6009.720000000014,1.2051304806693917,667.5399999999936
3,25,15,7560,31.203703703703702,5928.790000000014,1.2028697036950355,833.389999999993
3,25,20,7647,31.149470380541388,6213.730000000012,1.2111552877769967,600.8999999999942
3,30,10,6733,30.23912074855191,4837.360000000004,1.178042648291275,1080.1099999999951
3,30,15,6643,30.227306939635707,4970.050000000003,1.1836017573873105,921.3599999999979
3,30,20,6623,30.303487845387288,5403.590000000006,1.199178749214412,1031.4299999999976
3,30,25,6753,30.06071375684881,5592.190000000006,1.203077728700714,912.3899999999976
3,35,10,6075,29.382716049382715,4249.3499999999985,1.160126357137151,916.0299999999997
3,35,15,5947,29.443416848831344,4362.17,1.1671001063775586,874.5900000000001
3,35,20,5909,29.378913521746487,4436.74,1.1715238956801435,982.2200000000003
3,35,25,6006,29.403929403929403,4669.929999999998,1.1784187279050689,999.9400000000005
3,35,30,6133,29.235284526332954,4615.69,1.1712922896963887,996.8000000000002
3,40,10,5666,28.644546417225556,3971.8499999999885,1.1552301279758932,884.2799999999943
3,40,15,5499,28.696126568466994,4047.419999999989,1.1620259022389032,858.2999999999947
3,40,20,5464,28.733528550512446,4315.34999999999,1.1752703269673863,892.7099999999946
3,40,25,5498,28.574026918879593,4387.769999999991,1.1769952235407917,839.0099999999939
3,40,30,5593,28.482031110316466,4142.65999999999,1.1617298511127792,914.5299999999943
3,45,10,5251,28.451723481241668,4119.51000000001,1.1693428346511725,992.1099999999915
3,45,15,5102,28.635829086632693,4121.970000000008,1.174098646480876,958.8999999999924
3,45,20,5039,28.59694383806311,3782.5000000000055,1.1610231579610575,940.2599999999929
3,45,25,5021,28.460466042620993,3295.640000000004,1.1403308866423278,1335.2599999999957
3,45,30,5053,28.35939046111221,2940.9400000000023,1.1231300369313912,1302.7399999999952
4,20,10,8037,34.614906059474926,5938.100000000022,1.1895799810997887,526.9199999999983
4,20,15,8028,34.29247633283508,5738.310000000023,1.1824737950559212,536.1399999999976
4,25,10,6902,33.61344537815126,7427.769999999997,1.2671543547544188,565.5499999999975
4,25,15,6856,33.50350058343057,7326.719999999999,1.2637893435401544,607.239999999997
4,25,20,6865,33.401310997815,7278.729999999995,1.2607726307198615,613.0499999999975
4,30,10,6106,32.0013101867016,5873.699999999979,1.2243331819624457,630.789999999999
4,30,15,6024,31.97211155378486,5746.709999999979,1.2195570355591836,657.9399999999996
4,30,20,6000,32.0,6005.149999999978,1.2305744443121904,653.6599999999999
4,30,25,6068,32.05339485827291,6125.359999999976,1.2341038496258752,632.0200000000004
4,35,10,5526,30.45602605863192,5140.039999999995,1.2042403787238807,928.8399999999983
4,35,15,5430,30.791896869244937,5575.219999999992,1.2255341509955269,856.8499999999995
4,35,20,5405,30.730804810360777,5437.279999999992,1.2201479454051491,922.8299999999999
4,35,25,5469,30.444322545255073,5254.1399999999885,1.2105055243206724,926.5499999999993
4,35,30,5505,30.33605812897366,5325.93999999999,1.2109958354990422,940.4999999999991
4,40,10,5062,30.34373765310154,4304.259999999989,1.1751017432636273,951.6599999999962
4,40,15,4977,30.48020896122162,4514.399999999987,1.1866301321839408,934.8799999999974
4,40,20,4940,30.647773279352226,4871.589999999989,1.2048757121523133,987.9199999999973
4,40,25,4961,30.437411812134652,4740.919999999987,1.1982027253857197,950.9099999999971
4,40,30,4993,30.262367314239935,4630.859999999988,1.1902965938715324,927.739999999997
4,45,10,4770,29.832285115303982,4097.959999999983,1.172592702096107,1088.0699999999924
4,45,15,4674,29.931536157466837,4318.329999999982,1.1858560496083237,1076.3599999999933
4,45,20,4607,30.08465378771435,4270.269999999982,1.1859816991642231,1073.4799999999932
4,45,25,4586,30.00436109899695,3459.5299999999843,1.1513528672140019,1499.2299999999996
4,45,30,4600,29.652173913043477,3138.449999999983,1.1358392911400288,1471.5199999999995
5,20,10,7432,36.08719052744887,6690.560000000026,1.2237393310519864,580.2200000000021
5,20,15,7431,36.06513255281927,6699.080000000027,1.2240082178835952,602.9300000000012
5,25,10,6427,34.40174264820289,6744.820000000005,1.24673176852321,438.69000000000415
5,25,15,6408,34.394506866416975,6727.140000000005,1.2454855966777847,453.7900000000027
5,25,20,6388,34.18910457107076,6816.460000000005,1.2488693746666177,461.70000000000255
5,30,10,5703,32.64948272838857,4836.000000000004,1.1866327568274748,707.3400000000029
5,30,15,5629,32.90104814354237,5514.880000000004,1.2138889265955242,660.1900000000023
5,30,20,5622,32.835289932408394,5007.6,1.1941103276648692,666.7900000000018
5,30,25,5622,32.924226254002136,5041.920000000002,1.1955695539686668,655.5400000000018
5,35,10,5161,31.796163534198797,5033.050000000008,1.2045027540351614,992.6599999999962
5,35,15,5117,32.167285518858705,5972.000000000007,1.2452755098646184,965.9799999999959
5,35,20,5081,31.922849832710096,5146.0400000000045,1.2125353586124268,901.9099999999962
5,35,25,5107,32.034462502447624,5556.140000000007,1.2284952184179947,903.6799999999957
5,35,30,5112,31.92488262910798,5325.530000000004,1.21656709638249,963.8099999999968
5,40,10,4731,31.49439864722046,4448.560000000001,1.1859683475565048,1059.239999999998
5,40,15,4676,31.479897348160822,4586.489999999999,1.194375824027727,1062.9699999999984
5,40,20,4639,31.536969174391032,4320.51,1.1843779472451128,1021.9399999999978
5,40,25,4642,31.55967255493322,4082.479999999998,1.1733268516769162,1126.1299999999992
5,40,30,4649,31.383093138309313,3834.1499999999987,1.1617833959512696,1136.4699999999993
5,45,10,4409,31.39033794511227,3947.38999999999,1.1673292907541364,1194.7000000000048
5,45,15,4325,31.46820809248555,4175.29999999999,1.1806041217171337,1250.3100000000031
5,45,20,4278,31.53342683496961,4372.609999999989,1.1938230835379742,1057.6500000000042
5,45,25,4266,31.622128457571495,3522.40999999999,1.1562663174374592,1082.8500000000072
5,45,30,4254,31.57028678890456,3101.449999999989,1.135998386322327,1228.9600000000078
6,20,10,7011,36.528312651547566,6416.050000000008,1.2184166414754178,529.049999999992
6,20,15,7048,36.43586833144155,6121.29000000001,1.2067770055676157,574.2199999999966
6,25,10,5983,35.43372889854588,6945.839999999987,1.2647289857475255,613.9199999999992
6,25,15,6001,35.344109315114146,7364.64999999999,1.2800494188080465,591.7399999999998
6,25,20,5961,35.31286696862942,6892.4699999999875,1.261657226592158,613.9199999999992
6,30,10,5343,33.16488863934119,4956.54,1.1938705104857033,584.5800000000017
6,30,15,5339,33.171005806330776,5234.220000000001,1.2049369162244958,567.8400000000029
6,30,20,5307,33.31449029583569,5170.129999999999,1.2025027456645134,613.180000000003
